type,notch,searge,mcp
class,ar,net/minecraft/advancements/critereon/PositionTrigger,-
class,ar$a,net/minecraft/advancements/critereon/PositionTrigger$Listeners,-
class,ar$b,net/minecraft/advancements/critereon/PositionTrigger$Instance,-
class,as,net/minecraft/advancements/critereon/MinMaxBounds,-
class,at,net/minecraft/advancements/critereon/MobEffectsPredicate,-
class,at$a,net/minecraft/advancements/critereon/MobEffectsPredicate$InstancePredicate,-
class,au,net/minecraft/advancements/critereon/NBTPredicate,-
class,av,net/minecraft/advancements/critereon/NetherTravelTrigger,-
class,av$a,net/minecraft/advancements/critereon/NetherTravelTrigger$Listeners,-
class,av$b,net/minecraft/advancements/critereon/NetherTravelTrigger$Instance,-
class,aw,net/minecraft/advancements/critereon/PlacedBlockTrigger,-
class,aw$a,net/minecraft/advancements/critereon/PlacedBlockTrigger$Listeners,-
class,aw$b,net/minecraft/advancements/critereon/PlacedBlockTrigger$Instance,-
class,ax,net/minecraft/advancements/critereon/PlayerHurtEntityTrigger,-
class,ax$a,net/minecraft/advancements/critereon/PlayerHurtEntityTrigger$Listeners,-
class,ax$b,net/minecraft/advancements/critereon/PlayerHurtEntityTrigger$Instance,-
class,ay,net/minecraft/advancements/critereon/RecipeUnlockedTrigger,-
class,ay$a,net/minecraft/advancements/critereon/RecipeUnlockedTrigger$Listeners,-
class,ay$b,net/minecraft/advancements/critereon/RecipeUnlockedTrigger$Instance,-
class,az,net/minecraft/advancements/critereon/SummonedEntityTrigger,-
class,az$a,net/minecraft/advancements/critereon/SummonedEntityTrigger$Listeners,-
class,az$b,net/minecraft/advancements/critereon/SummonedEntityTrigger$Instance,-
class,ba,net/minecraft/advancements/critereon/TameAnimalTrigger,-
class,ba$a,net/minecraft/advancements/critereon/TameAnimalTrigger$Listeners,-
class,ba$b,net/minecraft/advancements/critereon/TameAnimalTrigger$Instance,-
class,bb,net/minecraft/advancements/critereon/TickTrigger,-
class,bb$a,net/minecraft/advancements/critereon/TickTrigger$Listeners,-
class,bb$b,net/minecraft/advancements/critereon/TickTrigger$Instance,-
class,bc,net/minecraft/advancements/critereon/VillagerTradeTrigger,-
class,bc$a,net/minecraft/advancements/critereon/VillagerTradeTrigger$Listeners,-
class,bc$b,net/minecraft/advancements/critereon/VillagerTradeTrigger$Instance,-
class,bd,net/minecraft/advancements/critereon/UsedEnderEyeTrigger,-
class,bd$a,net/minecraft/advancements/critereon/UsedEnderEyeTrigger$Listeners,-
class,bd$b,net/minecraft/advancements/critereon/UsedEnderEyeTrigger$Instance,-
class,be,net/minecraft/advancements/critereon/UsedTotemTrigger,-
class,be$a,net/minecraft/advancements/critereon/UsedTotemTrigger$Listeners,-
class,be$b,net/minecraft/advancements/critereon/UsedTotemTrigger$Instance,-
class,bh,net/minecraft/command/ICommandListener,-
class,bi,net/minecraft/command/CommandBase,-
class,bi$1,net/minecraft/command/CommandBase$1,-
class,bi$2,net/minecraft/command/CommandBase$2,-
class,bi$a,net/minecraft/command/CommandBase$CoordinateArg,-
class,bj,net/minecraft/command/CommandHandler,-
class,bk,net/minecraft/command/ICommand,-
class,bl,net/minecraft/command/ICommandManager,-
class,bm,net/minecraft/command/FunctionObject,-
class,bm$a,net/minecraft/command/FunctionObject$CacheableFunction,-
class,bm$b,net/minecraft/command/FunctionObject$CommandEntry,-
class,bm$c,net/minecraft/command/FunctionObject$Entry,-
class,bm$d,net/minecraft/command/FunctionObject$FunctionEntry,-
class,bn,net/minecraft/command/ICommandSender,-
class,bo,net/minecraft/command/CommandSenderWrapper,-
class,bp,net/minecraft/command/CommandResultStats,-
class,bp$1,net/minecraft/command/CommandResultStats$1,-
class,bp$a,net/minecraft/command/CommandResultStats$Type,-
class,bq,net/minecraft/command/EntitySelector,-
class,bq$1,net/minecraft/command/EntitySelector$1,-
class,bq$2,net/minecraft/command/EntitySelector$10,-
class,bq$3,net/minecraft/command/EntitySelector$11,-
class,bq$4,net/minecraft/command/EntitySelector$12,-
class,bq$5,net/minecraft/command/EntitySelector$13,-
class,bq$6,net/minecraft/command/EntitySelector$14,-
class,bq$7,net/minecraft/command/EntitySelector$2,-
class,bq$8,net/minecraft/command/EntitySelector$3,-
class,bq$9,net/minecraft/command/EntitySelector$4,-
class,bq$10,net/minecraft/command/EntitySelector$5,-
class,bq$11,net/minecraft/command/EntitySelector$6,-
class,bq$12,net/minecraft/command/EntitySelector$7,-
class,bq$13,net/minecraft/command/EntitySelector$8,-
class,bq$14,net/minecraft/command/EntitySelector$9,-
class,br,net/minecraft/command/AdvancementCommand,-
class,br$1,net/minecraft/command/AdvancementCommand$1,-
class,br$a,net/minecraft/command/AdvancementCommand$ActionType,-
class,br$a$1,net/minecraft/command/AdvancementCommand$ActionType$1,-
class,br$a$2,net/minecraft/command/AdvancementCommand$ActionType$2,-
class,br$b,net/minecraft/command/AdvancementCommand$Mode,-
class,bs,net/minecraft/command/server/CommandBanIp,-
class,bt,net/minecraft/command/server/CommandListBans,-
class,bu,net/minecraft/command/server/CommandBanPlayer,-
class,bv,net/minecraft/command/CommandBlockData,-
class,bw,net/minecraft/command/CommandClearInventory,-
class,bx,net/minecraft/command/CommandClone,-
class,bx$a,net/minecraft/command/CommandClone$StaticCloneData,-
class,by,net/minecraft/command/server/CommandDeOp,-
class,bz,net/minecraft/command/CommandDebug,-
class,ca,net/minecraft/command/CommandDefaultGameMode,-
class,cb,net/minecraft/command/CommandEffect,-
class,cc,net/minecraft/command/server/CommandEmote,-
class,cd,net/minecraft/command/CommandEnchant,-
class,ce,net/minecraft/command/CommandEntityData,-
class,cf,net/minecraft/command/CommandExecuteAt,-
class,cg,net/minecraft/command/CommandXP,-
class,ch,net/minecraft/command/CommandFill,-
class,ci,net/minecraft/command/CommandFunction,-
class,cj,net/minecraft/command/CommandDifficulty,-
class,ck,net/minecraft/command/CommandGameMode,-
class,cl,net/minecraft/command/CommandGameRule,-
class,cm,net/minecraft/command/CommandGive,-
class,cn,net/minecraft/command/CommandHelp,-
class,co,net/minecraft/command/CommandServerKick,-
class,cp,net/minecraft/command/CommandKill,-
class,cq,net/minecraft/command/server/CommandListPlayers,-
class,cr,net/minecraft/command/CommandLocate,-
class,cs,net/minecraft/command/server/CommandMessage,-
class,ct,net/minecraft/command/server/CommandOp,-
class,cu,net/minecraft/command/server/CommandPardonIp,-
class,cv,net/minecraft/command/server/CommandPardonPlayer,-
class,cw,net/minecraft/command/CommandParticle,-
class,cx,net/minecraft/command/CommandPlaySound,-
class,cy,net/minecraft/command/server/CommandPublishLocalServer,-
class,cz,net/minecraft/command/RecipeCommand,-
class,da,net/minecraft/command/CommandReload,-
class,db,net/minecraft/command/CommandReplaceItem,-
class,dc,net/minecraft/command/server/CommandSaveAll,-
class,dd,net/minecraft/command/server/CommandSaveOff,-
class,de,net/minecraft/command/server/CommandSaveOn,-
class,df,net/minecraft/command/server/CommandBroadcast,-
class,dg,net/minecraft/command/server/CommandScoreboard,-
class,dh,net/minecraft/command/ServerCommandManager,-
class,di,net/minecraft/command/server/CommandSetBlock,-
class,dj,net/minecraft/command/CommandSetPlayerTimeout,-
class,dk,net/minecraft/command/CommandSetSpawnpoint,-
class,dl,net/minecraft/command/server/CommandSetDefaultSpawnpoint,-
class,dm,net/minecraft/command/CommandShowSeed,-
class,dn,net/minecraft/command/CommandSpreadPlayers,-
class,dn$a,net/minecraft/command/CommandSpreadPlayers$Position,-
class,dp,net/minecraft/command/CommandStats,-
class,dq,net/minecraft/command/server/CommandStop,-
class,dr,net/minecraft/command/CommandStopSound,-
class,ds,net/minecraft/command/server/CommandSummon,-
class,dt,net/minecraft/command/server/CommandTeleport,-
class,du,net/minecraft/command/server/CommandMessageRaw,-
class,dw,net/minecraft/command/server/CommandTestForBlock,-
class,dx,net/minecraft/command/CommandCompare,-
class,dy,net/minecraft/command/server/CommandTestFor,-
class,dz,net/minecraft/command/CommandTime,-
class,ea,net/minecraft/command/CommandTitle,-
class,eb,net/minecraft/command/CommandToggleDownfall,-
class,ec,net/minecraft/command/CommandTP,-
class,ed,net/minecraft/command/CommandTrigger,-
class,ee,net/minecraft/command/CommandWeather,-
class,ef,net/minecraft/command/server/CommandWhitelist,-
class,eg,net/minecraft/command/CommandWorldBorder,-
class,ei,net/minecraft/command/CommandException,-
class,ej,net/minecraft/command/EntityNotFoundException,-
class,ek,net/minecraft/command/InvalidBlockStateException,-
class,el,net/minecraft/command/NumberInvalidException,-
class,em,net/minecraft/command/SyntaxErrorException,-
class,en,net/minecraft/command/PlayerNotFoundException,-
class,eo,net/minecraft/command/CommandNotFoundException,-
class,ep,net/minecraft/command/WrongUsageException,-
class,et,net/minecraft/util/math/BlockPos,-
class,et$1,net/minecraft/util/math/BlockPos$1,-
class,et$1$1,net/minecraft/util/math/BlockPos$1$1,-
class,et$2,net/minecraft/util/math/BlockPos$2,-
class,et$2$1,net/minecraft/util/math/BlockPos$2$1,-
class,et$4,net/minecraft/util/math/BlockPos$4,-
class,et$a,net/minecraft/util/math/BlockPos$MutableBlockPos,-
class,et$b,net/minecraft/util/math/BlockPos$PooledMutableBlockPos,-
class,eu,net/minecraft/dispenser/IBlockSource,-
class,ev,net/minecraft/block/BlockSourceImpl,-
class,ew,net/minecraft/util/math/Cartesian,-
class,ew$1,net/minecraft/util/math/Cartesian$1,-
class,ew$a,net/minecraft/util/math/Cartesian$GetList,-
class,ew$b,net/minecraft/util/math/Cartesian$Product,-
class,ew$b$a,net/minecraft/util/math/Cartesian$Product$ProductIterator,-
class,ex,net/minecraft/dispenser/BehaviorDefaultDispenseItem,-
class,ey,net/minecraft/util/registry/RegistryNamespacedDefaultedByKey,-
class,ez,net/minecraft/util/registry/RegistryDefaulted,-
class,fa,net/minecraft/util/EnumFacing,-
class,fa$1,net/minecraft/util/EnumFacing$1,-
class,fa$a,net/minecraft/util/EnumFacing$Axis,-
class,fa$b,net/minecraft/util/EnumFacing$AxisDirection,-
class,fa$c,net/minecraft/util/EnumFacing$Plane,-
class,fb,net/minecraft/dispenser/IBehaviorDispenseItem,-
class,fb$1,net/minecraft/dispenser/IBehaviorDispenseItem$1,-
class,fc,net/minecraft/util/IObjectIntIterable,-
class,fd,net/minecraft/util/ObjectIntIdentityMap,-
class,fe,net/minecraft/dispenser/ILocatableSource,-
class,ff,net/minecraft/dispenser/ILocation,-
class,fg,net/minecraft/util/MapPopulator,-
class,fh,net/minecraft/util/registry/RegistryNamespaced,-
class,fi,net/minecraft/util/NonNullList,-
class,fj,net/minecraft/util/EnumParticleTypes,-
class,fk,net/minecraft/dispenser/IPosition,-
class,fl,net/minecraft/dispenser/PositionImpl,-
class,fm,net/minecraft/util/registry/IRegistry,-
class,fn,net/minecraft/util/math/Rotations,-
class,fo,net/minecraft/util/registry/RegistrySimple,-
class,fq,net/minecraft/util/math/Vec3i,-
class,ft,net/minecraft/util/text/translation/I18n,-
class,fu,net/minecraft/util/text/translation/LanguageMap,-
class,fw,net/minecraft/nbt/NBTTagByteArray,-
class,fx,net/minecraft/nbt/NBTTagByte,-
class,fy,net/minecraft/nbt/NBTTagCompound,-
class,fy$1,net/minecraft/nbt/NBTTagCompound$1,-
class,fy$2,net/minecraft/nbt/NBTTagCompound$2,-
class,fz,net/minecraft/nbt/NBTTagDouble,-
class,ga,net/minecraft/nbt/NBTTagEnd,-
class,gb,net/minecraft/nbt/NBTTagFloat,-
class,gc,net/minecraft/nbt/NBTTagIntArray,-
class,gd,net/minecraft/nbt/NBTTagInt,-
class,ge,net/minecraft/nbt/NBTTagList,-
class,gf,net/minecraft/nbt/NBTTagLongArray,-
class,gg,net/minecraft/nbt/NBTTagLong,-
class,gh,net/minecraft/nbt/NBTSizeTracker,-
class,gh$1,net/minecraft/nbt/NBTSizeTracker$1,-
class,gi,net/minecraft/nbt/CompressedStreamTools,-
class,gj,net/minecraft/nbt/NBTUtil,-
class,gk,net/minecraft/nbt/NBTPrimitive,-
class,gl,net/minecraft/nbt/NBTTagShort,-
class,gm,net/minecraft/nbt/NBTTagString,-
class,gn,net/minecraft/nbt/NBTBase,-
class,go,net/minecraft/nbt/NBTException,-
class,gp,net/minecraft/nbt/JsonToNBT,-
class,gr,net/minecraft/network/NettyEncryptionTranslator,-
class,gs,net/minecraft/network/NettyEncryptingDecoder,-
class,gt,net/minecraft/network/NettyEncryptingEncoder,-
class,gu,net/minecraft/network/NettyCompressionDecoder,-
class,gv,net/minecraft/network/NettyCompressionEncoder,-
class,gw,net/minecraft/network/NetworkManager,-
class,gw$1,net/minecraft/network/NetworkManager$1,-
class,gw$2,net/minecraft/network/NetworkManager$2,-
class,gw$3,net/minecraft/network/NetworkManager$3,-
class,gw$4,net/minecraft/network/NetworkManager$4,-
class,gw$5,net/minecraft/network/NetworkManager$5,-
class,gw$6,net/minecraft/network/NetworkManager$6,-
class,gw$a,net/minecraft/network/NetworkManager$InboundHandlerTuplePacketListener,-
class,gx,net/minecraft/network/EnumConnectionState,-
class,gx$1,net/minecraft/network/EnumConnectionState$1,-
class,gx$2,net/minecraft/network/EnumConnectionState$2,-
class,gx$3,net/minecraft/network/EnumConnectionState$3,-
class,gx$4,net/minecraft/network/EnumConnectionState$4,-
class,gy,net/minecraft/network/PacketBuffer,-
class,gz,net/minecraft/network/NettyPacketDecoder,-
class,ha,net/minecraft/network/NettyPacketEncoder,-
class,hb,net/minecraft/network/INetHandler,-
class,hc,net/minecraft/network/NettyVarint21FrameDecoder,-
class,hd,net/minecraft/network/NettyVarint21FrameEncoder,-
class,he,net/minecraft/util/text/TextComponentBase,-
class,he$1,net/minecraft/util/text/TextComponentBase$1,-
class,he$2,net/minecraft/util/text/TextComponentBase$2,-
class,hf,net/minecraft/util/text/ChatType,-
class,hg,net/minecraft/util/text/event/ClickEvent,-
class,hg$a,net/minecraft/util/text/event/ClickEvent$Action,-
class,hh,net/minecraft/util/text/ITextComponent,-
class,hh$a,net/minecraft/util/text/ITextComponent$Serializer,-
class,hi,net/minecraft/util/text/TextComponentUtils,-
class,hj,net/minecraft/util/text/event/HoverEvent,-
class,hj$a,net/minecraft/util/text/event/HoverEvent$Action,-
class,hk,net/minecraft/util/text/TextComponentKeybind,-
class,hl,net/minecraft/util/text/TextComponentScore,-
class,hm,net/minecraft/util/text/TextComponentSelector,-
class,hn,net/minecraft/util/text/Style,-
class,hn$1,net/minecraft/util/text/Style$1,-
class,hn$a,net/minecraft/util/text/Style$Serializer,-
class,ho,net/minecraft/util/text/TextComponentString,-
class,hp,net/minecraft/util/text/TextComponentTranslation,-
class,hq,net/minecraft/util/text/TextComponentTranslationFormatException,-
class,ht,net/minecraft/network/Packet,-
class,hu,net/minecraft/network/EnumPacketDirection,-
class,hv,net/minecraft/network/PacketThreadUtil,-
class,hv$1,net/minecraft/network/PacketThreadUtil$1,-
class,hw,net/minecraft/network/play/INetHandlerPlayClient,-
class,hx,net/minecraft/network/play/server/SPacketSpawnObject,-
class,hy,net/minecraft/network/play/server/SPacketSpawnExperienceOrb,-
class,hz,net/minecraft/network/play/server/SPacketSpawnGlobalEntity,-
class,ia,net/minecraft/network/play/server/SPacketSpawnMob,-
class,ib,net/minecraft/network/play/server/SPacketSpawnPainting,-
class,ic,net/minecraft/network/play/server/SPacketSpawnPlayer,-
class,id,net/minecraft/network/play/server/SPacketAnimation,-
class,ie,net/minecraft/network/play/server/SPacketStatistics,-
class,ig,net/minecraft/network/play/server/SPacketBlockBreakAnim,-
class,ih,net/minecraft/network/play/server/SPacketUpdateTileEntity,-
class,ii,net/minecraft/network/play/server/SPacketBlockAction,-
class,ij,net/minecraft/network/play/server/SPacketBlockChange,-
class,ik,net/minecraft/network/play/server/SPacketUpdateBossInfo,-
class,ik$1,net/minecraft/network/play/server/SPacketUpdateBossInfo$1,-
class,ik$a,net/minecraft/network/play/server/SPacketUpdateBossInfo$Operation,-
class,il,net/minecraft/network/play/server/SPacketServerDifficulty,-
class,im,net/minecraft/network/play/server/SPacketTabComplete,-
class,in,net/minecraft/network/play/server/SPacketChat,-
class,io,net/minecraft/network/play/server/SPacketMultiBlockChange,-
class,io$a,net/minecraft/network/play/server/SPacketMultiBlockChange$BlockUpdateData,-
class,ip,net/minecraft/network/play/server/SPacketConfirmTransaction,-
class,iq,net/minecraft/network/play/server/SPacketCloseWindow,-
class,ir,net/minecraft/network/play/server/SPacketOpenWindow,-
class,is,net/minecraft/network/play/server/SPacketWindowItems,-
class,it,net/minecraft/network/play/server/SPacketWindowProperty,-
class,iu,net/minecraft/network/play/server/SPacketSetSlot,-
class,iv,net/minecraft/network/play/server/SPacketCooldown,-
class,iw,net/minecraft/network/play/server/SPacketCustomPayload,-
class,ix,net/minecraft/network/play/server/SPacketCustomSound,-
class,iy,net/minecraft/network/play/server/SPacketDisconnect,-
class,iz,net/minecraft/network/play/server/SPacketEntityStatus,-
class,ja,net/minecraft/network/play/server/SPacketExplosion,-
class,jb,net/minecraft/network/play/server/SPacketUnloadChunk,-
class,jc,net/minecraft/network/play/server/SPacketChangeGameState,-
class,jd,net/minecraft/network/play/server/SPacketKeepAlive,-
class,je,net/minecraft/network/play/server/SPacketChunkData,-
class,jf,net/minecraft/network/play/server/SPacketEffect,-
class,jg,net/minecraft/network/play/server/SPacketParticles,-
class,jh,net/minecraft/network/play/server/SPacketJoinGame,-
class,ji,net/minecraft/network/play/server/SPacketMaps,-
class,jj,net/minecraft/network/play/server/SPacketEntity,-
class,jj$a,net/minecraft/network/play/server/SPacketEntity$S15PacketEntityRelMove,-
class,jj$b,net/minecraft/network/play/server/SPacketEntity$S17PacketEntityLookMove,-
class,jj$c,net/minecraft/network/play/server/SPacketEntity$S16PacketEntityLook,-
class,jk,net/minecraft/network/play/server/SPacketMoveVehicle,-
class,jl,net/minecraft/network/play/server/SPacketSignEditorOpen,-
class,jm,net/minecraft/network/play/server/SPacketPlaceGhostRecipe,-
class,jn,net/minecraft/network/play/server/SPacketPlayerAbilities,-
class,jo,net/minecraft/network/play/server/SPacketCombatEvent,-
class,jo$1,net/minecraft/network/play/server/SPacketCombatEvent$1,-
class,jo$a,net/minecraft/network/play/server/SPacketCombatEvent$Event,-
class,jp,net/minecraft/network/play/server/SPacketPlayerListItem,-
class,jp$1,net/minecraft/network/play/server/SPacketPlayerListItem$1,-
class,jp$a,net/minecraft/network/play/server/SPacketPlayerListItem$Action,-
class,jp$b,net/minecraft/network/play/server/SPacketPlayerListItem$AddPlayerData,-
class,jq,net/minecraft/network/play/server/SPacketPlayerPosLook,-
class,jq$a,net/minecraft/network/play/server/SPacketPlayerPosLook$EnumFlags,-
class,jr,net/minecraft/network/play/server/SPacketUseBed,-
class,js,net/minecraft/network/play/server/SPacketRecipeBook,-
class,js$a,net/minecraft/network/play/server/SPacketRecipeBook$State,-
class,jt,net/minecraft/network/play/server/SPacketDestroyEntities,-
class,ju,net/minecraft/network/play/server/SPacketRemoveEntityEffect,-
class,jv,net/minecraft/network/play/server/SPacketResourcePackSend,-
class,jw,net/minecraft/network/play/server/SPacketRespawn,-
class,jx,net/minecraft/network/play/server/SPacketEntityHeadLook,-
class,jy,net/minecraft/network/play/server/SPacketSelectAdvancementsTab,-
class,jz,net/minecraft/network/play/server/SPacketWorldBorder,-
class,jz$1,net/minecraft/network/play/server/SPacketWorldBorder$1,-
class,jz$a,net/minecraft/network/play/server/SPacketWorldBorder$Action,-
class,ka,net/minecraft/network/play/server/SPacketCamera,-
class,kb,net/minecraft/network/play/server/SPacketHeldItemChange,-
class,kc,net/minecraft/network/play/server/SPacketDisplayObjective,-
class,kd,net/minecraft/network/play/server/SPacketEntityMetadata,-
class,ke,net/minecraft/network/play/server/SPacketEntityAttach,-
class,kf,net/minecraft/network/play/server/SPacketEntityVelocity,-
class,kg,net/minecraft/network/play/server/SPacketEntityEquipment,-
class,kh,net/minecraft/network/play/server/SPacketSetExperience,-
class,ki,net/minecraft/network/play/server/SPacketUpdateHealth,-
class,kj,net/minecraft/network/play/server/SPacketScoreboardObjective,-
class,kk,net/minecraft/network/play/server/SPacketSetPassengers,-
class,kl,net/minecraft/network/play/server/SPacketTeams,-
class,km,net/minecraft/network/play/server/SPacketUpdateScore,-
class,km$a,net/minecraft/network/play/server/SPacketUpdateScore$Action,-
class,kn,net/minecraft/network/play/server/SPacketSpawnPosition,-
class,ko,net/minecraft/network/play/server/SPacketTimeUpdate,-
class,kp,net/minecraft/network/play/server/SPacketTitle,-
class,kp$a,net/minecraft/network/play/server/SPacketTitle$Type,-
class,kq,net/minecraft/network/play/server/SPacketSoundEffect,-
class,kr,net/minecraft/network/play/server/SPacketPlayerListHeaderFooter,-
class,ks,net/minecraft/network/play/server/SPacketCollectItem,-
class,kt,net/minecraft/network/play/server/SPacketEntityTeleport,-
class,ku,net/minecraft/network/play/server/SPacketAdvancementInfo,-
class,kv,net/minecraft/network/play/server/SPacketEntityProperties,-
class,kv$a,net/minecraft/network/play/server/SPacketEntityProperties$Snapshot,-
class,kw,net/minecraft/network/play/server/SPacketEntityEffect,-
class,kx,net/minecraft/network/play/INetHandlerPlayServer,-
class,ky,net/minecraft/network/play/client/CPacketConfirmTeleport,-
class,kz,net/minecraft/network/play/client/CPacketTabComplete,-
class,la,net/minecraft/network/play/client/CPacketChatMessage,-
class,lb,net/minecraft/network/play/client/CPacketClientStatus,-
class,lb$a,net/minecraft/network/play/client/CPacketClientStatus$State,-
class,lc,net/minecraft/network/play/client/CPacketClientSettings,-
class,ld,net/minecraft/network/play/client/CPacketConfirmTransaction,-
class,le,net/minecraft/network/play/client/CPacketEnchantItem,-
class,lf,net/minecraft/network/play/client/CPacketClickWindow,-
class,lg,net/minecraft/network/play/client/CPacketCloseWindow,-
class,lh,net/minecraft/network/play/client/CPacketCustomPayload,-
class,li,net/minecraft/network/play/client/CPacketUseEntity,-
class,li$a,net/minecraft/network/play/client/CPacketUseEntity$Action,-
class,lj,net/minecraft/network/play/client/CPacketKeepAlive,-
